ID,Work Item Type,Title,Title,Title,Description,Assigned To,Business Owner,Business Process Lead,Area Path,Tags,State,Priority,Risk,Effort,Business Value,Time Criticality,Business Outcome Category,Value Area,Process Sequence ID,Discipline
,User Story,,,Automatically place an asset into service during receipt or invoice of a purchase order,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.030.300,
,User Story,,,Convert a pending asset to fixed asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.030.400,
,User Story,,,Create an asset for maintenance operations,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.030.500,
,User Story,,,Estimate and eliminate a project to convert a project into an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.030.600,
,User Story,,,Manually acquire an asset through an acquisition journal,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.030.700,
,Feature,,Install assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.040,
,User Story,,,Assign functional locations,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.040.100,
,User Story,,,Physically install assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.040.200,
,Feature,,Commence use of an asset and record liabilities,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.050,
,User Story,,,Commence use of an asset and record liabilities,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.050.100,
,Feature,,Accumulate acquisition costs,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.060,
,User Story,,,Use financial dimensions or tags to accumulate acquisition costs for an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.060.100,
,User Story,,,Use projects to accumulate acquisitions costs for an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.060.200,
,User Story,,,Use purchase orders to accumulate acquisition costs for an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.060.300,
,Feature,,Create asset leases,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.070,
,User Story,,,Create asset leases,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.070.100,
,Epic,Manage internal assets,,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30,
,Feature,,Create and maintain fixed assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.010,
,User Story,,,Create fixed assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.010.100,
,User Story,,,Make additions to fixed assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.010.200,
,User Story,,,Update depreciation convention,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.010.300,
,Feature,,Commission asset,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.020,
,Feature,,Update asset details,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.020,
,User Story,,,Update asset leases,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.020.100,
,User Story,,,Update fixed assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.020.200,
,User Story,,,Update asset details,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.020.300,
,User Story,,,Use a work order to start up an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.030.100,
,Feature,,Insure an asset,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.040,
,User Story,,,Insure an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.040.100,
,Feature,,Transfer assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.050,
,User Story,,,Move an asset to another location,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.050.100,
,User Story,,,Transfer an asset to another legal entity,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.050.200,
,User Story,,,Transfer assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.050.300,
,User Story,,,Update financial dimensions for an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.30.050.400,
,Epic,Manage and report on asset financials,,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40,
,Feature,,Define asset accounting books,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.010,
,User Story,,,Define a GAAP accounting book for an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.010.100,
,User Story,,,Define a tax book for an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.010.200,
,User Story,,,Define an IFRS accounting book for an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.010.300,
,Feature,,Define depreciation and amortization policies,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.020,
,User Story,,,Define fixed asset parameters for depreciation,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.020.100,
,User Story,,,Determine how depreciation is calculated for both the year when the fixed asset is acquired and the year when the fixed asset is disposed of,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.020.200,
,User Story,,,Set up depreciation calendars,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.020.300,
,Feature,,Define depreciation and amortization schedules,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.030,
,User Story,,,Calculate depreciation for an asset that is acquired with a negative value,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.030.100,
,User Story,,,Calculate depreciation for an asset that is revalued,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.030.200,
,User Story,,,Calculate depreciation for an asset that loses value over time at a constant rate,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.030.300,
,User Story,,,Calculate depreciation for an asset that loses value over time at a constant rate,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.030.400,
,User Story,,,Calculate depreciation for an asset to write off depreciation cost earlier & minimize tax exposure,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.030.500,
,User Story,,,Calculate depreciation for assets that are eligible for additional first-year deprecation ,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.030.600,
,User Story,,,Calculate depreciation for assets that lose value equivalent to a certain percentage of the acquisition price,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.030.700,
,User Story,,,Calculate depreciation for assets whose value is determined based on how much it is used and not on its lifespan,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.030.800,
,Feature,,Adjust leases,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.035,
,User Story,,,Extend a lease,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.035.100,
,User Story,,,Modify lease terms,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.035.200,
,Feature,,Record lease expenses,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.040,
,User Story,,,Record expenses for low value leases,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.040.100,
,User Story,,,Record expenses for short-term leases,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.040.200,
,Feature,,Accrue lease payments,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.050,
,User Story,,,Accrue lease payments,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.050.100,
,Feature,,Make asset lease payments,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.060,
,User Story,,,Make asset lease payments,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.060.100,
,User Story,,,Make variable payments and perform index revaluation,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.060.200,
,User Story,,,Determine lease payment schedules,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.060.300,
,Feature,,Depreciate asset leases,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.070,
,User Story,,,Depreciate asset leases,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.070.100,
,Feature,,Amortize lease liability and record interest expense,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.080,
,User Story,,,Amortize lease liability and record interest expense,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.080.100,
,Feature,,Revalue and adjust assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.090,
,User Story,,,Reclassify a fixed asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.090.100,
,User Story,,,Revalue an asset post repairs or accidents,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.090.200,
,User Story,,,Revalue an asset post upgrade or enhancements,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.090.300,
,User Story,,,Revalue an asset that resulted in a decrease in Fair Market Value (FMV),,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.090.400,
,User Story,,,Revalue an asset that resulted in an increase in Fair Market Value (FMV),,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.090.500,
,Feature,,Generate depreciation and amortization entries,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.100,
,User Story,,,Generate depreciation for assets that encountered beyond the normal wear and tear,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.100.100,
,User Story,,,Generate depreciation for multiple companies,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.100.200,
,User Story,,,Generate depreciation of assets ,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.100.300,
,Feature,,Correct and adjust depreciation and amortization,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.110,
,User Story,,,Adjust depreciation for reversed fixed asset transactions,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.110.100,
,User Story,,,Correct a recorded depreciation entry,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.110.200,
,User Story,,,Update depreciation convention for a single asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.110.300,
,User Story,,,Update depreciation convention for multiple assets in bulk,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.110.400,
,Feature,,Review and approve depreciation and amortization entries,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.120,
,User Story,,,Use advanced workflows for fixed asset journals,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.120.100,
,User Story,,,Use basic journal approvals for fixed asset journals,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.40.120.200,
,Epic,Maintain and repair internal assets,,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50,
,Feature,,Define asset maintenance data,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.010,
,User Story,,,Assign asset attributes,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.010.100,
,User Story,,,Assign spare parts to assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.010.200,
,Feature,,Plan maintenance,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.020,
,User Story,,,Define a preventative maintenance plan,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.020.100,
,User Story,,,Plan maintenance,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.020.200,
,Feature,,Schedule maintenance,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.030,
,User Story,,,Schedule maintenance,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.030.100,
,Feature,,Perform maintenance activities,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.040,
,User Story,,,Peform maintenance activities,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.040.100,
,Feature,,Track maintenance costs,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.050,
,User Story,,,Track maintenance costs,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.050.100,
,Feature,,Analyze maintenance activity performance,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.060,
,User Story,,,Analyze maintenance costs,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.060.100,
,User Story,,,Analyze maintenance activity performance,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.060.200,
,Feature,,Replace assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.070,
,User Story,,,Replace assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.50.070.100,
,Epic,Retire and dispose of assets,,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.60,
,Feature,,Define accounting policies for asset retirement or disposal,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.60.010,
,User Story,,,Configure fixed asset posting profiles for sale and scrap,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.60.010.100,
,Feature,,Scrap an asset,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.60.020,
,User Story,,,Dispose of a fixed asset using a fixed asset journal scrap,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.60.020.100,
,Feature,,Sell an asset,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.60.030,
,User Story,,,Dispose of a fixed asset using a fixed asset journal sale,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.60.030.100,
,User Story,,,Dispose of a fixed asset using a free text invoice,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.60.030.200,
,User Story,,,Sell an asset to another legal entity,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.60.030.300,
,Feature,,Replace an asset,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.60.040,
,User Story,,,Remove an asset from service through trade-in,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.60.040.100,
,Epic,Establish a knowledge base,,,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10,
,Feature,,Create knowledge base articles,,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.010,
,User Story,,,Create knowledge base articles in Dynamics 365 Customer Service,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.010.100,
,User Story,,,Create knowledge base articles in finance and operations apps,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.010.200,
,User Story,,,Import knowledge base articles into Dynamics 365 Customer Services,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.010.300,
,User Story,,,Import knowledge base articles in finance and operations apps,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.010.400,
,Feature,,Identify common issues,,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.020,
,User Story,,,Establish product information sheets/manuals,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.020.100,
,User Story,,,Establish standard operating procedures,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.020.200,
,User Story,,,Establish troubleshooting guides,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.020.300,
,Feature,,Maintain knowledge base articles,,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.030,
,User Story,,,Update knowledge base articles in Dynamics 365 Customer Service,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.030.100,
,User Story,,,Update knowledge base articles in finance and operations apps,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.030.200,
,Feature,,Retire knowledge base articles,,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.040,
,User Story,,,Retire knowledge base articles in Dynamics 365 Customer Service,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.040.100,
,User Story,,,Retire knowledge base articles in finance and operations apps,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.10.040.200,
,Epic,Define customer and employee service operations,,,,,,,DevOps Product Catalog Working Instance\Case to resolution,,New,1,,,,,,Business,20.20,
